PROPERTY.GROUP,LATITUDE,LONGITUDE
7858,41.93088544,-87.75654846
7917,41.93774782,-87.6476164
7942,41.93989938,-87.64733232
7944,41.93989442,-87.6477084
7945,41.93988318,-87.64838804
7991,41.93490353,-87.64437265
8034,41.93300718,-87.64003464
8042,41.93293836,-87.64349303
8044,41.9328682,-87.64702222
8066,41.93544037,-87.64254384
8110,41.93421883,-87.6402426
8139,41.93668048,-87.64083719
8159,41.93364685,-87.64479876
8237,41.93452095,-87.65654794
8310,41.93453764,-87.65164667
8383,41.93686191,-87.66494956
8417,41.93859795,-87.66695445
8493,41.93580449,-87.67960024
8509,41.93224543,-87.69020501
8549,41.93587259,-87.70003495
8601,41.93192434,-87.71238139
8654,41.93800031,-87.72170614
8703,41.93174257,-87.7390333
8723,41.93326885,-87.75663613
8820,41.94634346,-87.64474554
8886,41.94356504,-87.64563223
8898,41.94374301,-87.64836079
8911,41.94170939,-87.64777869
9053,41.94384895,-87.64952878
9121,41.94211948,-87.65402806
9257,41.94683164,-87.663862
9426,41.94654253,-87.70391868
9466,41.94613052,-87.72019798
9468,41.94621618,-87.72264779
9477,41.94084633,-87.7269516
9481,41.94275782,-87.72714692
9509,41.94039066,-87.72736676
9510,41.94048917,-87.72737013
9512,41.94074663,-87.72907882
9514,41.94075084,-87.72876315
9518,41.93904798,-87.74672794
9540,41.93933877,-87.74702542
9548,41.94234795,-87.74835156
9589,41.94989211,-87.64942196
9590,41.94903213,-87.64605909
9689,41.95362391,-87.6546675
9696,41.95211386,-87.65190207
9889,41.94708325,-87.66871328
9953,41.94771187,-87.67584615
9986,41.94685852,-87.68710776
10019,41.95076706,-87.70807726
10028,41.95288997,-87.7274466
10052,41.94802286,-87.72759442
10072,41.94625943,-87.74536129
10087,41.95309037,-87.76550115
10116,41.95794015,-87.64965206
10127,41.95757266,-87.64640261
10172,41.95596594,-87.65060053
10174,41.95555099,-87.65303028
10178,41.9612508,-87.65103406
10185,41.96045561,-87.65236423
10195,41.96118352,-87.65617409
10199,41.95758244,-87.65636944
10210,41.96170384,-87.65195168
10435,41.95740958,-87.70704985
10456,41.95467446,-87.69963195
10487,41.95699424,-87.7140877
10494,41.96006135,-87.71447799
10498,41.95759891,-87.71317811
10518,41.96099495,-87.71505149
10546,41.95925786,-87.72598354
10559,41.95386188,-87.71859049
10589,41.95374332,-87.72925407
10591,41.95365161,-87.73529008
10631,41.95512766,-87.74802272
10643,41.95441325,-87.75091453
10658,41.96051814,-87.75499349
10662,41.95414263,-87.7487505
10666,41.96042258,-87.76312416
10667,41.95321484,-87.77174633
10668,41.95314406,-87.77692528
10670,41.95321908,-87.77908127
10685,41.96258577,-87.65396249
10709,41.96425147,-87.65690248
10717,41.96223938,-87.65837209
10719,41.96628369,-87.65349141
10747,41.96879479,-87.65466956
10765,41.96226388,-87.65460801
10767,41.96482781,-87.6546342
10797,41.96534626,-87.6530344
10801,41.9655623,-87.65326284
10804,41.96439271,-87.65121896
10815,41.96653405,-87.6514038
10830,41.96723438,-87.66398597
10843,41.96822518,-87.66445535
10848,41.96859948,-87.66729349
10870,41.96708739,-87.65972052
10885,41.96224166,-87.66112338
10896,41.96505073,-87.6622635
10897,41.96542954,-87.66229212
10919,41.96787099,-87.659807
10925,41.96521193,-87.66326006
10962,41.96433232,-87.6707587
11039,41.96342405,-87.68499079
11040,41.96502529,-87.68571064
11081,41.96488275,-87.69109054
11116,41.9647072,-87.69361927
11151,41.9657023,-87.70751119
11153,41.96290895,-87.70784829
11165,41.96803114,-87.70738989
11172,41.96676625,-87.70496704
11175,41.96133527,-87.69954285
11177,41.96134521,-87.70061499
11180,41.96130732,-87.70633501
11248,41.96284176,-87.71351029
11266,41.96152751,-87.71574799
11272,41.96464227,-87.71343879
11278,41.96183967,-87.72063711
11279,41.96181531,-87.72230203
11290,41.96105616,-87.7227835
11291,41.96272701,-87.7224063
11294,41.96814213,-87.72702896
11295,41.96115109,-87.72027193
11307,41.96822961,-87.71899034
11319,41.96659941,-87.72167817
11330,41.96112751,-87.72223919
11337,41.96231465,-87.73149156
11343,41.96425588,-87.7347474
11358,41.96762072,-87.74543902
11365,41.96111763,-87.75472131
11373,41.96071503,-87.75693512
11409,41.97323236,-87.65287396
11413,41.97319167,-87.65566879
11447,41.97203776,-87.65614896
11460,41.96916138,-87.657668
11471,41.97283849,-87.65477043
11479,41.97440008,-87.65510653
11486,41.97542646,-87.65272708
11489,41.97540545,-87.65420141
11499,41.97273795,-87.6578677
11502,41.97453,-87.65791555
11510,41.9691991,-87.64979282
11518,41.97272151,-87.66374634
11519,41.97271656,-87.66408598
11579,41.97119761,-87.66095331
11666,41.97485761,-87.67770601
11698,41.9688869,-87.67762523
11833,41.97033488,-87.71112064
11841,41.96853361,-87.71473929
11855,41.97098232,-87.70869313
11856,41.97132014,-87.70869976
11902,41.97001876,-87.72219582
11911,41.97024058,-87.72203175
11920,41.9720729,-87.72677748
11950,41.96841666,-87.72206578
12036,41.98174291,-87.65675495
12070,41.98154698,-87.65498348
12093,41.97757464,-87.65799441
12237,41.97778167,-87.69498985
12286,41.97797539,-87.69271806
12293,41.9784607,-87.69699951
12298,41.97820926,-87.69671159
12316,41.98266483,-87.71143014
12319,41.98107946,-87.71389688
12320,41.98133794,-87.71383304
12360,41.97760567,-87.84632108
12378,41.98717182,-87.65951282
12395,41.98468273,-87.65649797
12401,41.98826932,-87.65661199
12413,41.98689781,-87.65686211
12417,41.98821157,-87.65690457
12421,41.98973321,-87.65695125
12432,41.9856411,-87.65538854
12435,41.98692712,-87.65543537
12457,41.9858547,-87.65823215
12464,41.98431796,-87.65788863
12474,41.98452355,-87.66929557
12541,41.98513128,-87.66275932
12544,41.98729388,-87.66661913
12572,41.98436979,-87.67214112
12595,41.98346923,-87.69544876
12596,41.98407993,-87.69649183
12607,41.98327727,-87.68950947
12647,41.9855462,-87.711244
12652,41.98657761,-87.71015165
12715,41.99463926,-87.65680749
12728,41.99271449,-87.65704128
12734,41.99556527,-87.65712882
12758,41.99294557,-87.6556227
12771,41.99381825,-87.65818355
12778,41.9964875,-87.65826422
12783,41.99016589,-87.65832086
12786,41.99172686,-87.65841465
12787,41.99269894,-87.65844193
12789,41.99365873,-87.65847338
12800,41.99447949,-87.6573369
12807,41.99466027,-87.66063743
12828,41.99094558,-87.66704136
12891,41.99674997,-87.67094876
12949,41.99312103,-87.68837279
12972,41.99766158,-87.68750364
12977,41.99762949,-87.68939673
12980,41.99412941,-87.6812546
12983,41.99426292,-87.68623079
12985,41.99424297,-87.68737948
13008,41.99532934,-87.68259187
13029,41.99192763,-87.68094835
13032,41.99192345,-87.68124257
13033,41.9925847,-87.68125941
13042,41.99584149,-87.68743771
13046,41.99638091,-87.69091642
13048,41.99599865,-87.69133373
13073,41.99413626,-87.69534869
13093,41.99601555,-87.69014247
13128,41.99616897,-87.68997916
13133,41.99635796,-87.7067353
13134,41.99712211,-87.70705486
13149,41.99098366,-87.70199057
13154,41.99358225,-87.70207816
13159,41.99525459,-87.70213457
13182,41.99613525,-87.70337758
13198,41.99541714,-87.71578653
13200,41.99606545,-87.71684737
13263,42.00362033,-87.65777998
13282,42.00421844,-87.66069068
13306,42.0034471,-87.6700608
13329,42.00115844,-87.66575271
13341,42.00097683,-87.66363635
13377,42.00466022,-87.66100082
13381,42.00315877,-87.66795126
13387,42.00158137,-87.67259948
13394,42.00177379,-87.67414832
13398,42.00113252,-87.67062167
13404,42.00358497,-87.67235193
13424,42.00339435,-87.67307398
13426,42.00361195,-87.67319052
13435,41.99983997,-87.67785652
13443,42.00499713,-87.67073046
13466,41.9997314,-87.68529462
13468,41.99969777,-87.6873545
13470,41.99790938,-87.68593715
13474,41.99896418,-87.68884342
13486,41.99788104,-87.68751095
13489,41.99893799,-87.68367599
13495,41.99976298,-87.68336722
13500,41.99781585,-87.69142171
13508,41.99949452,-87.69862465
13524,42.00313401,-87.69939136
13538,41.99769952,-87.7034663
13543,41.99983174,-87.70200162
13553,41.99973514,-87.70107288
13602,42.00929634,-87.66183943
13603,42.00788237,-87.66089965
13609,42.00565706,-87.66037856
13623,42.01147501,-87.66462961
13626,42.01164392,-87.66305334
13631,42.00655744,-87.6613785
13639,42.0065295,-87.66862994
13677,42.00899199,-87.66709765
13690,42.0079661,-87.66899037
13693,42.0056204,-87.66282386
13697,42.00631282,-87.66129966
13700,42.00885548,-87.66213297
13702,42.00987619,-87.66246526
13707,42.01269968,-87.66464696
13709,42.01268557,-87.66549033
13717,42.01168184,-87.66536193
13730,42.00696567,-87.67014825
13731,42.00794147,-87.67045799
13745,42.01092573,-87.67245465
13752,42.01143084,-87.6795777
13757,42.00671248,-87.67094852
13759,42.00668649,-87.67237393
13768,42.01035242,-87.6717099
13795,42.00649542,-87.67079929
13797,42.00670455,-87.67137659
13798,42.00659333,-87.67811683
13836,42.01239579,-87.68211228
13837,42.0059892,-87.68068736
13848,42.01048726,-87.69447246
13850,42.01118828,-87.69379176
13873,42.0105496,-87.6912452
13895,42.01810639,-87.66512052
13907,42.01385047,-87.66302108
13911,42.01404113,-87.66397091
13931,42.01764611,-87.66804675
13945,42.0161708,-87.6675428
13947,42.01547881,-87.66475319
13958,42.01487316,-87.66696757
13959,42.01484178,-87.66890829
13974,42.01752161,-87.66833628
13991,42.01270694,-87.68012944
13996,42.01632702,-87.68032542
13997,42.0167515,-87.68016327
14003,42.01447663,-87.67657273
14015,42.0150203,-87.67121361
14029,42.01863178,-87.68637116
14050,42.01523201,-87.6805416
14067,42.01937248,-87.68439362
14072,42.01518368,-87.68316125
